id,abstract,label
ML_1,semisupervised learning learning paradigm concerned computer natural system human learn presence labeled unlabeled data traditionally learning studied either unsupervised paradigm eg clustering outlier detection data unlabeled supervised paradigm eg classification regression data labeled goal semisupervised learning understand combining labeled unlabeled data may change learning behavior design algorithm take advantage combination semisupervised learning great interest machine learning data mining readily available unlabeled data improve supervised learning task labeled data scarce expensive semisupervised learning also show potential quantitative tool understand human category learning input selfevidently unlabeled introductory book popular semisupervised learning model including selftraining mixture model cotraining multiview learning graphbased method semisupervised support vector machine model discus basic mathematical formulation success semisupervised learning depends critically underlying assumption emphasize assumption made model give counterexample appropriate demonstrate limitation different model addition discus semisupervised learning cognitive psychology finally give computational learning theoretic perspective semisupervised learning conclude book brief discussion question field table content introduction statistical machine learning overview semisupervised learning mixture model em cotraining graphbased semisupervised learning semisupervised support vector machine human semisupervised learning theory outlook ,1
ML_2,learning rank refers machine learning technique training model ranking learning rank useful many application information retrieval natural language processing data mining intensive study conducted problem recently significant progress made lecture give introduction area including fundamental problem major approach theory application future author begin showing various ranking problem information retrieval natural language processing formalized two basic ranking task namely ranking creation simply ranking ranking aggregation ranking creation given request one want generate ranking list offering based feature derived request offering ranking aggregation given request well number ranking list offering one want generate ranking list offering ranking creation ranking major problem learning rank usually formalized supervised learning author give detailed explanation learning ranking creation ranking aggregation including training testing evaluation feature creation major approach many method proposed ranking creation method categorized pointwise pairwise listwise approach according loss function employ also categorized according technique employ svm based boosting based neural network based approach author also introduces popular learning rank method detail include prank oc svm mcrank ranking svm ir svm gbrank ranknet listnet & amp listmle adarank svm map softrank lambdarank lambdamart borda count markov chain cranking author explains several example application learning rank including web search collaborative filtering definition search keyphrase extraction query dependent summarization reranking machine translation formulation learning ranking creation given statistical learning framework ongoing future research direction learning rank also discussed table content learning rank learning ranking creation learning ranking aggregation method learning rank application learning rank theory learning rank ongoing future ,1
ML_3,nonconvex optimization machine learning take indepth look basic nonconvex optimization application machine learning introduces rich literature area well equips reader tool technique needed apply analyze simple powerful procedure nonconvex problem nonconvex optimization machine learning selfcontained possible losing focus topic nonconvex optimization technique monograph initiate discussion entire chapter devoted presenting tutoriallike treatment basic concept convex analysis optimization well nonconvex counterpart monograph concludes look four interesting application area machine learning signal processing exploring nonconvex optimization technique introduced earlier used solve problem monograph also contains topic discussed exercise figure designed engage reader well extensive bibliographic note pointing towards classical work recent advance nonconvex optimization machine learning used semesterlength course basic nonconvex optimization application machine learning hand also possible cherry pick inidual portion chapter sparse recovery em algorithm inclusion broader course several course machine learning optimization signal processing may benefit inclusion topic ,1
ML_4,similarity object play important role human cognitive process artificial system recognition categorization appropriately measure similarity given crucial performance many machine learning pattern recognition data mining method book devoted metric learning set technique automatically learn similarity distance function data attracted lot interest machine learning related field past ten year book provide thorough metric learning literature cover algorithm theory application numerical structured data first introduce relevant definition classic metric function well example machine learning data mining wide range metric learning algorithm starting simple setting linear distance similarity learning show one may scaleup method large amount training data go beyond linear case discus method learn nonlinear metric multiple linear metric throughout feature space method complex setting multitask semisupervised learning although existing focused numerical data cover literature metric learning structured data like string tree graph time series technical part book recent statistical framework analyzing generalization performance metric learning derive result algorithm presented earlier finally illustrate relevance metric learning realworld problem series successful application computer vision bioinformatics information retrieval ,1
ML_5,learning rank refers machine learning technique training model ranking learning rank useful many application information retrieval natural language processing data mining intensive study conducted problem recently significant progress made lecture give introduction area including fundamental problem existing approach theory application future author begin showing various ranking problem information retrieval natural language processing formalized two basic ranking task namely ranking creation simply ranking ranking aggregation ranking creation given request one want generate ranking list offering based feature derived request offering ranking aggregation given request well number ranking list offering one want generate ranking list offering ranking creation ranking major problem learning rank usually formalized supervised learning author give detailed explanation learning ranking creation ranking aggregation including training testing evaluation feature creation major approach many method proposed ranking creation method categorized pointwise pairwise listwise approach according loss function employ also categorized according technique employ svm based boosting svm neural network based approach author also introduces popular learning rank method detail include prank oc svm ranking svm ir svm gbrank ranknet lambdarank listnet & amp listmle adarank svm map softrank borda count markov chain cranking author explains several example application learning rank including web search collaborative filtering definition search keyphrase extraction query dependent summarization reranking machine translation formulation learning ranking creation given statistical learning framework ongoing future research direction learning rank also discussed table content introduction learning ranking creation learning ranking aggregation method learning rank application learning rank theory learning rank ongoing future ,1
ML_6,hilbert space embedding distribution—in short kernel mean embedding—has recently emerged powerful tool machine learning statistical inference basic idea behind framework map distribution reproducing kernel hilbert space rkhs whole arsenal kernel method extended probability measure viewed generalization original feature map common support vector machine svms kernel method addition classical application kernel method kernel mean embedding found novel application ﬁelds ranging probabilistic modeling statistical inference causal discovery deep learning kernel mean embedding distribution beyond provides comprehensive existing recent advance research area discus challenging issue problem could potentially lead research direction targeted audience includes graduate student researcher machine learning statistic interested theory application kernel mean embeddings ,1
ML_7,learning rank information retrieval introduction field learning rank hot research topic information retrieval machine learning categorizes stateoftheart learningtorank algorithm three approach unified machine learning perspective describes loss function learning mechanism different approach reveals relationship difference show empirical performance real ir application discus theoretical property generalization ability tutorial learning rank information retrieval help people find answer following critical question respect learningtorank algorithm similar aspect differ ? strength weakness algorithm ? learningtorank algorithm empirically performs best ? ranking machine learning problem ? unique theoretical issue ranking compared classification regression ? learning rank information retrieval guide beginner embarking research area useful reference established researcher practitioner ,1
ML_8,active learning protocol supervised machine learning learning algorithm sequentially request label selected data point large pool unlabeled data contrast passive learning labeled data taken random objective active learning produce highlyaccurate classifier ideally fewer label number random labeled data sufficient passive learning achieve theory disagreementbased active learning describes recent advance understanding theoretical benefit active learning implication design effective active learning algorithm much monograph focus particular technique namely disagreementbased active learning amassed mature coherent literature also briefly survey several alternative approach literature emphasis theorem regarding performance general algorithm including rigorous proof appropriate however presentation intended pedagogical focusing result illustrate fundamental idea rather obtaining strongest generally known theorem theory disagreementbased active learning intended researcher advanced graduate student machine learning statistic interested gaining deeper understanding recent ongoing development theory active learning ,1
ML_9,asynchronous sequential machine design analysis provides lucid indepth treatment asynchronous state machine design analysis presented two part part background fundamental related asynchronous sequential logic circuit generally part ii selftimed system highperformance asynchronous programmable sequencer arbiter part provides detailed background fundamental design analysis asynchronous finite state machine fsms included basic model fully documented state diagram design characteristic basic memory cell muller celements simple fsms celements illustrate design process detection elimination timing defect asynchronous fsms covered detail followed array algebraic approach design singletransitiontime machine cad software onehot asynchronous fsms pulse mode fsms part concludes analysis procedure asynchronous state machine part ii concerned mainly selftimed system programmable sequencer arbiter begin detailed treatment externally asynchronousinternally clocked pausable system delayinsensitive metastabilityhardened followed defectfree cascadable asynchronous sequencer defectfree onehot asynchronous programmable sequencerstheir characteristic design application part ii concludes arbiter module various type without metastability protection together application presented appendix brief review covering mixedlogic gate symbology boolean algebra enteredvariable kmap minimization endofchapter problem glossary term expression abbreviation contribute reader learning experience five productivity tool made available specifically text briefly discussed preface table content background fundamental design analysis asynchronous state machine introduction background simple fsm design initialization detection elimination timing defect asynchronous fsms design single transition time machine design onehot asynchronous fsms design pulse mode fsms analysis asynchronous fsms ii selftimed system programmable sequencer arbiter externally asynchronousinternally clocked system cascadable asynchronous programmable sequencer cap timeshared system design asynchronous onehot programmable sequencer system arbiter module ,1
ML_10,wealth literature book available engineer starting understand machine learning used everyday present problem engineer start answer often general slightly outdated introduction read book detailed survey method based probabilistic model check reference learn statistical learning text useful monograph provides starting point literature every engineer machine learning need offer basic compact reference describes key idea principle simple term unified treatment encompassing recent development pointer literature brief introduction machine learning engineer entry point machine learning student practitioner researcher engineering background probability linear algebra ,1
ML_11,submodular function relevant machine learning least two reason problem may expressed directly optimization submodular function lovász extension submodular function provides useful set regularization function supervised unsupervised learning learning submodular function convex optimization perspective theory submodular function presented selfcontained way convex analysis perspective presenting tight link certain polyhedron combinatorial optimization convex optimization problem particular describes submodular function minimization equivalent solving wide variety convex optimization problem allows derivation efficient algorithm approximate exact submodular function minimization theoretical guarantee good practical performance listing many example submodular function review various application machine learning clustering experimental design sensor placement graphical model structure learning subset selection well family structured sparsityinducing norm derived used submodular function learning submodular function convex optimization perspective ideal reference researcher scientist engineer interest applying submodular function machine learning problem ,1
ML_12,machine learning deliver ai ? theoretical result inspiration brain cognition well machine learning experiment suggest order learn kind complicated function represent highlevel abstraction eg vision language ailevel task one would need deep architecture deep architecture composed multiple level nonlinear operation neural net many hidden layer graphical model many level latent variable complicated propositional formula reusing many subformulae level architecture represents feature different level abstraction defined composition lowerlevel feature searching parameter space deep architecture difficult algorithm discovered subarea emerged machine learning community since following discovery learning algorithm deep belief network related unsupervised learning algorithm recently proposed train deep architecture yielding exciting result beating stateoftheart certain area learning deep architecture ai discus motivation principle learning algorithm deep architecture analyzing comparing recent result different learning algorithm deep architecture explanation success proposed discussed highlighting challenge suggesting avenue future exploration area ,1
ML_13,support vector machine become well established tool machine learning well practice used across wide range application recognizing handwritten digit face identification text categorisation bioinformatics database marketing book give introductory overview subject start simple support vector machine performing binary classification considering multiclass classification learning presence noise show framework extended many scenario prediction realvalued output novelty detection handling complex output structure parse tree finally give overview type kernel used practice learn make prediction multiple type input data table content support vector machine classification kernelbased model learning kernel ,1
ML_14,many problem recent interest statistic machine learning posed framework convex optimization due explosion size complexity modern datasets increasingly important able solve problem large number feature training example result decentralized collection storage datasets well accompanying distributed solution method either necessary least highly desirable distributed optimization statistical learning via alternating direction method multiplier argues alternating direction method multiplier well suited distributed convex optimization particular largescale problem arising statistic machine learning related area method developed root equivalent closely related many algorithm dual decomposition method multiplier douglasrachford splitting spingarns method partial inverse dykstras alternating projection bregman iterative algorithm ? problem proximal method others briefly surveying theory history algorithm discus application wide variety statistical machine learning problem recent interest including lasso sparse logistic regression basis pursuit covariance selection support vector machine many others also discus general distributed optimization extension nonconvex setting efficient implementation including detail distributed mpi hadoop mapreduce implementation ,1
ML_15,adaptation learning optimization network deal topic information processing graph presentation largely selfcontained cover result relate analysis design multiagent network distributed solution optimization adaptation learning problem streaming data localized interaction among agent result derived monograph useful comparing network topology comparing networked solution centralized batch implementation many good reason peaked interest distributed implementation especially day age word network become commonplace whether one referring social network power network transportation network biological network type network reason benefit cooperation term improved performance improved resilience failure reason deal privacy secrecy consideration agent may comfortable sharing data remote fusion center situation data may already available dispersed location happens cloud computing one may also interested learning data mining big data set motivated consideration adaptation learning optimization network examines limit performance distributed solution discus procedure help bring forth potential fully adaptation learning optimization network adopts useful statistical framework derives performance result elucidate meansquare stability convergence steadystate behavior learning network time monograph illustrates distributed processing graph give rise revealing phenomenon due coupling effect among agent phenomenon discussed context adaptive network example variety area including distributed sensing intrusion detection distributed estimation online adaptation network system theory machine learning ,1
ML_16,development influenced field computer vision last decade introduction statistical machine learning technique particularly kernelbased classifier support vector machine become indispensable tool providing unified framework solving wide range imagerelated prediction task including face recognition object detection action classification emphasizing geometric intuition kernel method rely kernel method computer vision provides introduction kernelbased machine learning technique accessible wide audience including student researcher practitioner alike without sacrificing mathematical correctness cover support vector machine also le known technique kernelbased regression outlier detection clustering dimensionality reduction additionally offer outlook recent development kernel method yet made regular textbook structured prediction dependency estimation learning kernel function topic illustrated example successful application computer vision literature making kernel method computer vision useful guide wanting understand working principle kernel method also anyone wanting apply reallife problem ,1
ML_17,determinantal point process dpps elegant probabilistic model repulsion arise quantum physic random matrix theory contrast traditional structured model like markov random field become intractable hard approximate presence negative correlation dpps offer efficient exact algorithm sampling marginalization conditioning inference task studied extensively mathematician giving rise deep beautiful theory dpps relatively machine learning determinantal point process machine learning provides comprehensible introduction dpps focusing intuition algorithm extension relevant machine learning community show dpps applied realworld application like finding erse set highquality search result building informative summary selecting erse sentence document modeling nonoverlapping human pose image video automatically building timeline important news story present general mathematical background dpps range modeling extension efficient algorithm theoretical result aim enable practical modeling learning ,1
ML_18,key idea behind active learning machine learning algorithm perform better le training allowed choose data learns active learner may pose query usually form unlabeled data instance labeled oracle eg human annotator already understands nature problem sort approach wellmotivated many modern machine learning data mining application unlabeled data may abundant easy come training label difficult timeconsuming expensive obtain book general introduction active learning outline several scenario query might formulated detail many query selection algorithm organized four broad category query selection framework also touch theoretical foundation active learning conclude overview strength weakness approach practice including summary ongoing address challenge opportunity table content automating inquiry uncertainty sampling searching hypothesis space minimizing expected error variance exploiting structure data theory practical consideration ,1
ML_19,recent year decision forest established one promising technique machine learning computer vision medical image analysis book directed engineer phd student wish learn basic decision forest well senior researcher wish push state art automated image understanding author present unified efficient model random decision forest used number application scene recognition photograph object recognition image automatic diagnosis radiological scan document analysis application traditionally addressed different supervised unsupervised machine learning technique contrast cast erse task regression classification semisupervised learning instance general decision forest model flexibility forest framework extends task density estimation manifold learning semisupervised learning unified forest framework give u opportunity implement optimize underlying algorithm easily adapt inidual application relatively small change theoretical basis numerous explanatory example presented book serve solid platform upon build exciting future research ,1
ML_20,robot intelligent agent move simple environment problem complex unstructured setting manually programming behavior become increasingly challenging expensive often easier teacher demonstrate desired behavior rather attempt manually engineer process learning demonstration algorithm called imitation learning algorithmic perspective imitation learning provides reader introduction imitation learning cover underlying assumption approach relate rich set algorithm developed tackle problem advice effective tool implementation algorithmic perspective imitation learning serf two audience first familiarizes machine learning expert challenge imitation learning particularly arising robotics interesting theoretical practical distinction familiar framework like statistical supervised learning theory reinforcement learning second provides roboticists expert applied artificial intelligence broader appreciation framework tool available imitation learning pay particular attention intimate connection imitation learning approach structured prediction ,1
ML_21,emerging application imaging machine learning must perform immense amount computation holding strict limit energy power meet goal architect building increasingly specialized compute engine tailored specific task resulting computer system heterogeneous containing multiple processing core wildly different execution model unfortunately cost producing specialized hardware—and software control it—is astronomical moreover porting algorithm heterogeneous machine typically requires algorithm partitioned across machine rewritten specific architecture time consuming prone error last several year author approached problem domainspecific language dsl highlevel programming language customized specific domain database manipulation machine learning image processing giving generality language able provide highlevel abstraction developer producing high performance output book spur adoption creation domainspecific language especially creating hardware design first chapter short historical journey explains force driving computer architecture today chapter describes various method producing design accelerator outlining push abstraction tool enable designer higher conceptual level chapter provides brief introduction image processing algorithm hardware design pattern implementing chapter describe compare darkroom halide two domainspecific language created image processing produce highperformance design fpgas cpu source code enabling rapid design cycle quick porting algorithm final section describes dsl approach also simplifies problem interfacing application code accelerator generating driver stack addition accelerator configuration book serve useful introduction domainspecialized computing computer architecture student primer domainspecific language image processing hardware experience field ,1
ML_22,semantic matching search systematic detailed introduction newly developed machine learning technology query document matching semantic matching search particularly web search focus fundamental problem well stateoftheart solution query document matching form aspect phrase aspect word sense aspect topic aspect structure aspect matching query document limited search similar problem found question answering online advertising crosslanguage information retrieval machine translation recommender system link prediction image annotation drug design application one faced general matching object two different space technology introduced monograph generalized general machine learning technique referred learning match survey hoped idea solution explained semantic matching search may motivate industrial practitioner turn research result product method introduced discussion around also stimulate academic researcher find research direction approach ,1
ML_23,common feature many approach modeling sensory statistic emphasis capturing average early representation brain highly abstracted class category machine learning classification task centraltendency model based gaussian distribution seemingly natural obvious choice modeling sensory data however insight neuroscience psychology computer vision suggest alternate strategy preferentially focusing representational resource extreme distribution sensory input notion treating extremum near decision boundary feature necessarily comprehensive statistical theory recognition based extremum emerging computer vision literature book begin introducing statistical extreme value theory evt visual recognition contrast centraltendency modeling hypothesized distribution near decision boundary form powerful model recognition task focusing coding resource data arguably diagnostic feature evt several important property strong statistical grounding better modeling accuracy near decision boundary gaussian modeling ability model asymmetric decision boundary accurate prediction probability event beyond experience second part book us theory describe class machine learning algorithm decision making measurable advance beyond stateoftheart includes method postrecognition score analysis information fusion multiattribute space calibration supervised machine learning algorithm ,1
ML_24,book aimed providing overview several aspect semantic role labeling chapter begin linguistic background definition semantic role controversy surrounding chapter describes theory led structured lexicon framenet verbnet propbank frame file turn provide basis large scale semantic annotation corpus data facilitated development automatic semantic role labeling system based supervised machine learning technique chapter present general principle applying supervised unsupervised machine learning description standard stage feature choice well giving detail several specific system recent advance include joint inference take advantage context sensitivity attempt improve performance closer integration syntactic parsing semantic role labeling chapter also discus impact granularity semantic role system performance outlined basic approach respect english chapter go discus applying technique language chinese primary example although substantial training data available chinese case many language technique projecting english role label onto parallel corpus also presented table content preface semantic role available lexical resource machine learning semantic role labeling crosslingual perspective summary ,1
ML_25,ensemble method called influential development data mining machine learning past decade combine multiple model one usually accurate best component ensemble provide critical boost industrial challenge investment timing drug discovery fraud detection recommendation system predictive accuracy vital model interpretability ensemble useful modeling algorithm book focus decision tree explain clearly describing tree strength weakness author provide overview regularization today understood key reason superior performance modern ensembling algorithm book continues clear description two recent development importance sampling rule ensemble reveals classic ensemble method bagging random forest boosting special case single algorithm thereby showing improve accuracy speed re linear rule model derived decision tree ensemble interpretable version ensemble essential application credit scoring fault diagnosis lastly author explain paradox ensemble achieve greater accuracy data despite apparently much greater complexity book aimed novice advanced analytic researcher practitioner especially engineering statistic computer science little exposure ensemble learn employ breakthrough method advanced practitioner gain insight building even powerful model throughout snippet code r provided illustrate algorithm described encourage reader try technique author industry expert data mining machine learning also adjunct professor popular speaker although early pioneer discovering ensemble distill clarify recent groundbreaking leading academic jerome friedman bring benefit ensemble practitioner table content ensemble discovered predictive learning decision tree model complexity model selection regularization importance sampling classic ensemble method rule ensemble interpretation statistic ensemble complexity ,1
ML_26,people make sense text identifying semantic relation connect entity concept described text system aspires humanlike performance must also equipped identify learn semantic relation text process understanding even simple sentence opportunity curiosity find similar rock mar requires recognizing relation rock located mar signalled word drawing already known relation opportunity curiosity instance class mar rover languageunderstanding system able find relation document progressively build knowledge base even ontology resource kind assist continuous learning advanced languageprocessing task text summarization question answering machine translation book discus recognition text semantic relation capture interaction base noun phrase brief historical background introduce range relation inventory varying granularity proposed computational linguist also variation scale system operate snippet way whole web technique recognizing relation text full supervision weak distant supervision selfsupervised completely unsupervised method discussion supervised learning cover available datasets feature set describe relation instance successful algorithm overview weakly supervised unsupervised learning zoom acquisition relation large corpus hardly annotated data show bootstrapping seed example pattern scale large text collection web also machine learning technique data redundancy variability lead fast reliable relation extraction ,1
ML_27,introduction online convex optimization portrays optimization process many practical application environment complex infeasible lay comprehensive theoretical model classical algorithmic theory mathematical optimization necessary well beneficial take robust approach applying optimization method learns one go learning experience aspect problem observed view optimization process become prominent varied field led spectacular success modeling system part daily life introduction online convex optimization intended serve reference selfcontained course online convex optimization convex optimization approach machine learning educated graduate student computer scienceelectrical engineering operation researchstatistics related field also ideal reference researcher ing fascinating world intersection optimization machine learning ,1
ML_28,kernel method among popular technique machine learning regularization theory perspective provide natural choice hypothesis space regularization functional notion reproducing kernel hilbert space probabilistic theory perspective key context gaussian process kernel function known covariance function theory kernel method singlevalued function well established indeed considerable amount devoted designing learning kernel recently increasing interest method deal multiple output motivated partly framework like multitask learning application kernel vectorvalued function include sensor network geostatistics computer graphic several kernel vectorvalued function look different method design learn valid kernel function multiple output paying particular attention connection probabilistic regularization method kernel vectorvalued function aimed researcher interest theory application kernel vectorvalued function area statistic computer science engineering one goal provide unified framework common terminology researcher working machine learning statistic ,1
ML_29,online learning well established learning paradigm theoretical practical appeal goal online learning make sequence accurate prediction given knowledge correct answer previous prediction task possibly additional available information online learning studied several research field including game theory information theory machine learning also became great interest practitioner due recent emergence large scale application online advertisement placement online web ranking online learning online convex optimization modern overview online learning aim provide reader sense interesting idea particular underscore centrality convexity deriving efficient online learning algorithm connects relates result online convex optimization classic result online classification thus providing fresh modern perspective classic algorithm intended comprehensive rather give highlevel rigorous yet easy follow survey topic ,1
ML_30,property testing learning theory perspective take learningtheory point view property testing focus result testing property function interest learning theory community particular cover result testing algebraic property function linearity testing property defined concise representation small dnf representation property testing learning theory perspective start preliminary including precise statement proof simple important observation testing harder learning go consider first type property studied context property testing algebraic property include testing whether function multilinear generally whether polynomial bounded degree turn function class concise propositional logic representation singleton monomials small dnf formula proceeds discus distribution free testing testing random example alone finally contains brief survey result property testing include testing monotonicity testing clustering testing property distribution property testing learning theory perspective ideal text anybody interest property testing connects topic machine learning ,1
ML_31,human language acquisition studied century computational modeling study relatively recent trend however computational approach language learning become increasingly popular mainly due advance developing machine learning technique availability vast collection experimental data child language learning childadult interaction many existing computational model attempt complex learning language cognitive plausibility criterion memory processing limitation human face explain developmental stage observed child simulating process child language learning computational model show u linguistic representation learnable input child access mechanism yield pattern behaviour child exhibit process computational modeling provides insight plausible mechanism involved human language acquisition inspires development better language model technique book provides overview research question field human language acquisition review commonly used computational framework methodology resource modeling child language learning evaluation technique used assessing computational model book aimed cognitive scientist want become familiar available computational method investigating problem related human language acquisition well computational linguist interested applying skill child language acquisition different aspect language learning discussed separate chapter including acquisition inidual word general regularity govern word sentence form association form meaning aspect challenge discussed relevant empirical finding child summarized furthermore existing computational model attempt simulate reviewed number case study presented table content overview computational model language learning learning word putting word together formmeaning association final thought ,1
